Subject,Trial,DBS,Interference,Accuracy,RT
1,24,1,0,1,0.562119148
1,25,1,1,1,0.657494525
1,26,1,0,1,0.5901907270000001
1,27,1,1,1,0.6312947289999999
1,28,1,1,1,0.68563691
1,29,1,0,1,0.550703102
1,30,1,1,1,0.796808436
1,31,1,0,1,0.52928992
1,32,1,1,1,0.8793107929999999
1,33,1,0,1,0.558436818
1,34,1,0,1,0.538143474
1,35,1,1,1,0.668003343
1,36,1,0,1,0.563489072
1,37,1,1,1,0.600191933
1,38,1,1,1,0.8365356420000001
1,39,1,0,1,0.569028862
1,40,1,1,1,0.624135254
1,41,1,0,1,0.5374939870000001
1,42,1,1,1,0.6909137759999999
1,43,1,1,1,0.7464581809999999
1,44,1,0,1,0.5196485120000001
1,45,1,1,1,0.59420223
1,46,1,1,1,0.615428325
1,47,1,0,1,0.5273358
1,48,1,1,1,0.60473638
1,49,1,0,1,0.498551772
1,50,1,1,1,0.789344031
1,51,1,0,1,0.485841899
1,52,1,1,1,0.655258892
1,53,1,1,1,0.887400752
1,54,1,0,1,0.490724973
1,55,1,1,1,0.794515555
1,56,1,1,1,0.6357937770000001
1,57,1,0,1,0.607425349
1,58,1,0,1,0.627849978
1,59,1,1,1,0.635671573
1,60,1,1,1,0.586860127
1,61,1,0,1,0.529793816
1,62,1,0,1,0.5354881020000001
1,63,1,1,1,0.728219919
1,64,1,0,1,0.4966095370000001
1,65,1,1,1,0.922596237
1,66,1,0,1,0.592711461
1,67,1,1,1,0.82929923
1,68,1,0,1,0.5454238
1,69,1,1,1,0.5911333910000001
1,70,1,0,1,0.5572506220000001
1,71,1,1,1,0.565962611
1,72,1,0,1,0.520712376
1,73,1,1,1,0.61848993
1,74,1,0,1,0.505702313
1,75,1,1,1,0.609869478
1,76,1,0,1,0.512096869
1,77,1,0,1,0.537328021
1,78,1,1,1,0.62997641
1,79,1,1,1,0.6387684920000001
1,80,1,0,1,0.529472694
1,81,1,0,1,0.477018072
1,82,1,1,1,0.6447810079999999
1,83,1,0,1,0.5458032079999999
1,84,1,0,1,0.536696022
1,85,1,1,1,0.6660530060000001
1,86,1,0,1,0.603150295
1,87,1,1,1,0.882635113
1,88,1,0,1,0.539627113
1,89,1,0,1,0.544251751
1,90,1,1,1,0.574709396
1,91,1,0,1,0.480377274
1,92,1,0,1,0.474175174
1,93,1,1,1,0.7216451770000001
1,94,1,0,1,0.461083116
1,95,1,0,1,0.458496214
1,96,1,1,1,0.673836277
1,97,1,0,1,0.445847125
1,98,1,0,1,0.448739131
1,99,1,1,1,0.7880056040000001
1,100,1,1,1,0.669832607
1,101,1,0,1,0.489358214
1,102,1,0,1,0.5328411160000001
1,103,1,1,0,0.54164587
1,104,1,0,1,0.498018457
1,105,1,1,1,0.598710955
1,106,1,0,1,0.548184606
1,107,1,0,1,0.514594908
1,108,1,1,1,0.610272574
1,109,1,0,1,0.577565711
1,110,1,1,1,0.687530981
1,111,1,0,1,0.5224201620000001
1,112,1,0,1,0.517981564
1,113,1,1,1,0.621618395
1,114,1,1,1,0.62915164
1,115,1,0,1,0.51980575
1,116,1,1,1,0.727829642
1,117,1,0,1,0.5364184470000001
1,118,1,1,1,0.708015788
1,119,1,0,1,0.53819075
1,120,1,1,1,0.650617726
1,121,1,0,1,0.496811601
1,122,1,1,1,0.770926475
1,123,1,0,1,0.573699256
1,124,1,1,1,0.972676009
1,125,1,0,1,0.6021586520000001
1,126,1,1,1,0.637933037
1,127,1,0,1,0.583214263
1,128,1,0,1,0.574839164
1,129,1,1,1,0.656081756
1,130,1,0,1,0.571441074
1,131,1,1,1,0.738618349
1,132,1,0,1,0.534494816
1,133,1,1,1,0.73912919
1,134,1,0,1,0.571823505
1,135,1,0,1,0.60484974
1,136,1,1,1,0.721736009
1,137,1,1,1,0.6669206010000001
1,138,1,0,1,0.524534504
1,139,1,1,1,0.657895552
1,140,1,0,1,0.53759576
1,141,1,0,1,0.530869028
1,142,1,1,1,0.81142499
1,143,1,1,1,0.616664321
1,144,1,0,1,0.546862383
