Subject,Run,Gain,Loss,Choice,RT
2,1,22,9,1.0,1.358
2,1,22,20,0.0,1.168
2,1,24,7,1.0,2.861
2,1,24,9,1.0,2.705
2,1,24,12,0.0,1.3719999999999999
2,1,24,13,0.0,1.79
2,1,24,14,0.0,2.0980000000000003
2,1,24,18,0.0,2.8810000000000002
2,1,26,5,1.0,2.448
2,1,26,9,1.0,2.351
2,1,26,13,0.0,2.823
2,1,26,16,0.0,1.4480000000000002
2,1,26,18,0.0,2.431
2,1,28,7,1.0,2.23
2,1,28,12,0.0,2.3680000000000003
2,1,28,13,0.0,2.147
2,1,28,19,0.0,2.701
2,1,30,6,1.0,2.319
2,1,30,13,0.0,2.885
2,1,30,16,0.0,2.123
2,1,30,19,0.0,2.129
2,1,32,5,1.0,1.0290000000000001
2,1,32,6,1.0,1.9040000000000001
2,1,32,9,1.0,1.699
2,1,32,10,0.0,1.314
2,1,32,11,1.0,2.1390000000000002
2,1,32,16,0.0,1.739
2,1,32,17,0.0,1.3659999999999999
2,1,32,19,0.0,1.3219999999999998
2,1,32,20,0.0,1.296
2,1,34,9,1.0,2.101
2,1,34,10,0.0,2.659
2,1,34,13,,
2,1,34,16,1.0,2.189
2,1,34,17,0.0,2.079
2,1,34,19,0.0,1.367
2,1,34,20,0.0,2.885
2,1,36,6,1.0,1.369
2,1,36,8,1.0,1.589
2,1,36,12,0.0,2.002
2,1,36,17,0.0,1.9169999999999998
2,1,36,19,0.0,1.4369999999999998
2,1,38,5,1.0,1.501
2,1,38,7,1.0,2.191
2,1,38,10,1.0,2.189
2,1,38,12,1.0,2.2680000000000002
2,1,38,14,0.0,2.106
2,1,40,5,1.0,1.7919999999999998
2,1,40,7,1.0,1.265
2,1,40,10,1.0,1.729
2,1,40,13,0.0,2.17
2,1,40,15,,
2,1,40,19,0.0,1.2890000000000001
2,2,10,9,0.0,1.95
2,2,10,14,0.0,1.209
2,2,10,16,0.0,0.903
2,2,10,17,0.0,1.012
2,2,10,18,0.0,2.272
2,2,12,5,1.0,1.9880000000000002
2,2,12,7,0.0,2.602
2,2,12,10,0.0,1.239
2,2,12,12,0.0,1.2790000000000001
2,2,12,13,0.0,1.304
2,2,12,18,0.0,1.203
2,2,12,20,0.0,1.114
2,2,14,8,0.0,2.315
2,2,14,9,0.0,1.551
2,2,14,13,0.0,0.878
2,2,14,15,0.0,1.207
2,2,16,6,1.0,2.001
2,2,16,7,0.0,1.831
2,2,16,8,0.0,2.231
2,2,16,9,0.0,1.7269999999999999
2,2,16,14,0.0,1.255
2,2,16,17,0.0,1.063
2,2,18,9,0.0,1.358
2,2,18,10,0.0,2.835
2,2,20,5,1.0,1.676
2,2,20,7,,
2,2,20,9,0.0,2.441
2,2,20,10,0.0,1.103
2,2,20,13,0.0,1.742
2,2,20,14,0.0,1.109
2,2,20,19,0.0,1.163
2,2,22,6,1.0,1.386
2,2,22,13,0.0,2.072
2,2,22,15,0.0,1.222
2,2,22,17,0.0,1.123
2,2,22,18,,
2,2,22,19,0.0,1.186
2,2,24,5,1.0,1.504
2,2,24,8,1.0,1.9380000000000002
2,2,24,11,0.0,2.208
2,2,24,15,0.0,2.106
2,2,24,16,0.0,1.45
2,2,24,17,0.0,1.3630000000000002
2,2,24,20,0.0,1.306
2,2,26,6,1.0,1.85
2,2,26,8,1.0,1.6280000000000001
2,2,26,12,0.0,2.193
2,2,26,19,0.0,0.001
2,2,26,20,0.0,1.1740000000000002
2,2,28,6,1.0,1.507
2,2,28,8,1.0,1.864
2,2,28,10,0.0,2.975
2,2,28,11,0.0,2.537
2,2,28,14,0.0,1.1159999999999999
2,2,28,15,0.0,1.919
2,2,28,16,0.0,1.5030000000000001
2,2,30,5,1.0,2.322
2,2,30,9,1.0,2.5869999999999997
2,2,30,12,0.0,2.043
2,2,30,15,0.0,1.206
2,2,30,17,0.0,2.072
2,2,30,18,0.0,1.518
2,2,32,7,1.0,1.865
2,2,32,15,0.0,2.803
2,2,32,18,0.0,1.085
2,2,34,6,1.0,1.4809999999999999
2,2,34,12,1.0,2.214
2,2,34,18,0.0,1.204
2,2,36,7,1.0,1.834
2,2,36,9,1.0,1.8430000000000002
2,2,36,13,1.0,2.38
2,2,36,14,,
2,2,36,15,0.0,2.801
2,2,36,16,0.0,1.0959999999999999
2,2,36,18,0.0,1.964
2,2,36,20,0.0,2.87
2,2,38,8,1.0,1.8030000000000002
2,2,38,9,0.0,0.001
2,2,38,18,0.0,1.237
2,2,38,20,0.0,2.214
2,2,40,6,1.0,1.517
2,2,40,8,1.0,1.504
2,2,40,9,1.0,1.743
2,2,40,11,1.0,1.5759999999999998
2,2,40,16,0.0,1.505
2,3,10,5,0.0,2.522
2,3,10,8,0.0,1.495
2,3,10,10,0.0,1.198
2,3,10,13,0.0,0.887
2,3,10,19,0.0,1.034
2,3,10,20,0.0,1.052
